speaker_id,file_path,dataset,recording_date,dob
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0004.flac,librispeech,,
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0012.flac,librispeech,,
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0000.flac,librispeech,,
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0011.flac,librispeech,,
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0005.flac,librispeech,,
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0014.flac,librispeech,,
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5694/3570-5694-0021.flac,librispeech,,
3570,datasets/librispeech/LibriSpeech/test-clean/3570/5696/3570-5696-0010.flac,librispeech,,
5142,datasets/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0002.flac,librispeech,,
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0054.flac,librispeech,,
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0019.flac,librispeech,,
5142,datasets/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0000.flac,librispeech,,
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0022.flac,librispeech,,
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0057.flac,librispeech,,
5142,datasets/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0061.flac,librispeech,,
5142,datasets/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0018.flac,librispeech,,
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0004.flac,librispeech,,
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0003.flac,librispeech,,
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0006.flac,librispeech,,
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0007.flac,librispeech,,
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0012.flac,librispeech,,
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0015.flac,librispeech,,
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0004.flac,librispeech,,
1221,datasets/librispeech/LibriSpeech/test-clean/1221/135766/1221-135766-0000.flac,librispeech,,
